:START_ID,:END_ID,:TYPE,time
2082,2287,compete,2020/4/9 13:33
3348,272,compete,2018/10/29 7:16
1431,707,compete,2021/5/17 8:01
272,743,compete,2022/1/24 20:25
743,272,compete,2021/7/21 20:48
743,615,compete,2022/4/23 8:08
506,2150,compete,2022/4/1 8:26
1239,554,compete,2021/3/30 7:37
3216,743,compete,2021/12/27 1:50
2045,2698,compete,2022/7/20 8:02
3631,1784,compete,2021/3/24 0:26
1760,2653,compete,2021/5/8 10:14
3921,3564,compete,2021/12/21 2:36
762,3285,compete,2019/2/26 11:01
2827,1246,compete,2018/12/4 8:23
2150,12,compete,2018/5/9 0:00
3414,2525,compete,2018/1/22 0:00
743,3413,compete,2018/6/19 0:00
3872,2013,compete,2018/8/29 0:00
2377,1600,compete,2018/5/18 0:00
2168,2226,compete,2018/1/31 0:00
2007,1995,compete,2018/8/28 0:00
949,3382,compete,2018/9/5 0:00
1082,481,compete,2018/7/9 0:00
2032,189,compete,2018/4/17 0:00
