:START_ID,:END_ID,:TYPE,time
1605,1866,dispute,2020/12/17 16:55
1299,1136,dispute,2022/2/22 17:55
2508,3950,dispute,2022/1/19 8:11
1644,560,dispute,2018/12/14 16:09
568,3498,dispute,2021/3/18 15:49
568,3285,dispute,2019/7/23 18:12
3206,1559,dispute,2020/7/21 20:35
2004,630,dispute,2019/9/11 19:45
649,1866,dispute,2021/1/15 17:28
3330,559,dispute,2019/11/9 18:09
3330,2763,dispute,2019/12/19 22:11
3330,3524,dispute,2020/12/7 8:24
3010,561,dispute,2021/11/30 17:25
3564,700,dispute,2019/4/27 14:50
3564,724,dispute,2022/7/20 9:25
3564,3804,dispute,2019/1/22 19:30
3564,2840,dispute,2019/1/2 9:05
3564,2579,dispute,2019/11/24 20:55
630,3564,dispute,2019/1/23 19:22
1923,560,dispute,2019/9/5 22:12
1923,1866,dispute,2019/5/21 16:54
2519,3014,dispute,2019/9/3 15:55
606,3524,dispute,2022/7/2 1:17
1865,2763,dispute,2019/6/21 16:33
1865,1101,dispute,2019/5/16 7:59
1784,1084,dispute,2022/5/11 16:03
3348,561,dispute,2020/7/2 17:18
3348,2798,dispute,2021/2/4 12:43
3030,3568,dispute,2021/8/19 19:18
3030,2558,dispute,2022/1/8 18:17
3030,53,dispute,2022/5/9 0:26
2917,3624,dispute,2020/3/1 18:06
495,3622,dispute,2019/7/31 17:19
1431,466,dispute,2022/3/15 14:12
3730,2668,dispute,2021/11/8 19:08
272,2458,dispute,2021/1/1 0:30
2402,2741,dispute,2019/8/22 17:24
599,630,dispute,2019/8/21 20:29
795,2656,dispute,2019/8/20 18:58
743,3216,dispute,2021/9/29 10:03
743,2289,dispute,2019/12/26 20:47
2177,347,dispute,2020/9/27 19:55
2020,3262,dispute,2019/3/13 13:40
1866,2713,dispute,2021/1/8 17:11
1219,358,dispute,2021/8/31 19:30
2838,2838,dispute,2020/6/22 21:13
3568,3030,dispute,2019/6/1 7:58
3568,2798,dispute,2021/8/16 13:12
3540,2176,dispute,2018/12/27 9:14
2160,2656,dispute,2019/8/6 18:30
2226,1754,dispute,2019/7/29 20:16
992,3826,dispute,2019/12/3 20:39
3854,1020,dispute,2019/7/5 12:00
1077,2531,dispute,2022/1/4 17:15
2558,3030,dispute,2019/5/12 6:30
2502,1134,dispute,2022/2/18 18:59
1283,2402,dispute,2021/4/12 13:47
537,561,dispute,2021/2/20 21:09
3178,1773,dispute,2020/4/21 8:14
1134,2781,dispute,2022/6/1 20:27
1101,1865,dispute,2019/7/24 19:47
1101,1345,dispute,2019/10/16 19:00
1101,3025,dispute,2020/9/14 21:09
1101,2784,dispute,2019/12/25 17:11
1101,2391,dispute,2019/12/19 16:30
1101,586,dispute,2019/9/4 19:48
820,3956,dispute,2020/6/7 14:13
820,1162,dispute,2020/2/13 10:16
3645,630,dispute,2019/7/23 22:15
2656,3083,dispute,2021/9/8 16:53
2656,561,dispute,2021/1/8 20:52
2031,1101,dispute,2019/7/22 16:29
506,649,dispute,2019/7/19 20:41
1400,2531,dispute,2018/12/10 17:54
669,2585,dispute,2019/1/3 8:21
2269,561,dispute,2022/6/10 19:35
2525,3176,dispute,2021/11/24 17:38
2525,561,dispute,2020/8/11 23:56
2525,3570,dispute,2022/8/30 19:40
435,1249,dispute,2019/7/25 3:45
3080,1681,dispute,2019/3/14 19:14
906,2444,dispute,2020/7/4 9:22
