:START_ID,:END_ID,:TYPE
1165,1478,invest
469,3116,invest
3566,2272,invest
1299,2270,invest
2508,2248,invest
3666,743,invest
514,3170,invest
217,1902,invest
217,2348,invest
10,626,invest
1178,2074,invest
1178,232,invest
181,3331,invest
1715,2260,invest
3564,3427,invest
3564,1607,invest
3564,2020,invest
1601,1784,invest
1175,3447,invest
3400,22,invest
1805,1805,invest
1805,3737,invest
2840,3759,invest
2840,781,invest
3498,568,invest
1784,3516,invest
1784,3626,invest
1784,1084,invest
3348,1210,invest
3348,2709,invest
315,1607,invest
3030,692,invest
2002,1179,invest
2341,3725,invest
450,1254,invest
450,3408,invest
1431,27,invest
1789,3941,invest
2402,2741,invest
743,441,invest
743,3666,invest
743,182,invest
743,2696,invest
743,3889,invest
743,2011,invest
743,3216,invest
2177,2781,invest
1336,1305,invest
2108,756,invest
2391,930,invest
434,2705,invest
3889,3886,invest
480,2346,invest
992,3056,invest
2354,2427,invest
2861,483,invest
2861,1607,invest
1752,217,invest
2798,3348,invest
1087,2777,invest
930,2391,invest
930,3862,invest
3178,1051,invest
1393,1407,invest
3579,3624,invest
1437,3209,invest
2269,1693,invest
3842,1732,invest
371,2097,invest
1060,3692,invest
245,3910,invest
3080,3889,invest
3080,565,invest
906,2427,invest
906,49,invest
906,3886,invest
699,3576,invest
699,1893,invest
2475,2575,invest
3285,2450,invest
2032,1502,invest
2981,652,invest
2822,2822,invest
2822,2561,invest
2801,1589,invest
2842,3654,invest
2254,743,invest
2927,319,invest
2734,3618,invest
3886,2471,invest
1356,2579,invest
2472,2228,invest
278,3950,invest
819,2089,invest
1595,1707,invest
1595,2801,invest
781,800,invest
2921,3941,invest
1804,787,invest
790,3826,invest
2450,1961,invest
3354,1522,invest
1254,2781,invest
1254,450,invest
2991,3083,invest
2991,2877,invest
2642,1584,invest
1454,3498,invest
3219,1493,invest
2763,3434,invest
3069,3486,invest
308,262,invest
3894,2082,invest
3353,141,invest
2205,3954,invest
2839,3427,invest
3789,1257,invest
1749,2307,invest
2623,1351,invest
2623,868,invest
454,2802,invest
422,3478,invest
59,3116,invest
437,3348,invest
345,2444,invest
2687,2731,invest
3085,565,invest
1021,272,invest
2444,2675,invest
481,1784,invest
2675,2444,invest
1958,2638,invest
3246,2779,invest
3246,3367,invest
1527,2455,invest
1527,2877,invest
93,1663,invest
1530,2051,invest
1530,3737,invest
1070,3383,invest
1070,3704,invest
2494,296,invest
3155,810,invest
463,785,invest
516,1622,invest
3049,2550,invest
1870,1839,invest
1052,3805,invest
2682,3804,invest
1078,488,invest
3216,1820,invest
2282,2180,invest
3689,3889,invest
3689,280,invest
398,3958,invest
1543,3626,invest
3737,3207,invest
3538,284,invest
3538,565,invest
2471,3886,invest
296,2494,invest
2199,743,invest
1825,2658,invest
3417,3693,invest
3292,3396,invest
2599,109,invest
2251,3527,invest
279,880,invest
483,1600,invest
2960,2979,invest
2956,753,invest
2446,3893,invest
347,2045,invest
3315,3626,invest
1470,1749,invest
2045,347,invest
2045,2032,invest
3891,914,invest
2461,2840,invest
783,743,invest
2955,2705,invest
2386,1406,invest
1179,2002,invest
2423,2905,invest
3839,3478,invest
3751,3477,invest
679,1144,invest
1837,3478,invest
3172,1815,invest
3690,3948,invest
722,618,invest
722,2265,invest
2484,1600,invest
3786,2985,invest
1774,3737,invest
3475,1672,invest
3475,1078,invest
1270,809,invest
2504,3817,invest
3421,2467,invest
3500,2467,invest
57,2120,invest
2731,2687,invest
2680,1090,invest
3478,1837,invest
460,3626,invest
2794,304,invest
2957,2260,invest
339,1480,invest
3797,2625,invest
1902,217,invest
444,1406,invest
2384,772,invest
3590,2177,invest
3914,3875,invest
2901,2467,invest
3137,3564,invest
2650,816,invest
3847,625,invest
971,115,invest
2308,3285,invest
388,1266,invest
949,1581,invest
3379,2775,invest
3379,1929,invest
695,2670,invest
2416,270,invest
2416,3618,invest
2924,2341,invest
1448,3626,invest
830,335,invest
3505,743,invest
1990,3396,invest
2025,1559,invest
1419,2104,invest
3654,2346,invest
178,454,invest
189,2935,invest
704,3605,invest
1876,2362,invest
1876,733,invest
2011,743,invest
2183,3430,invest
1082,3889,invest
1301,3083,invest
2270,1745,invest
702,1030,invest
702,743,invest
2674,272,invest
3230,2163,invest
191,3692,invest
9,743,invest
441,440,invest
540,2444,invest
940,1137,invest
940,2026,invest
940,1051,invest
940,1778,invest
940,1401,invest
940,3086,invest
940,3667,invest
940,2096,invest
940,30,invest
940,944,invest
940,3743,invest
3921,743,invest
2581,3438,invest
1121,2751,invest
1609,2321,invest
3516,1918,invest
1637,516,invest
1490,1558,invest
873,3109,invest
2344,3172,invest
1104,2781,invest
1104,1480,invest
3600,92,invest
2307,1749,invest
3871,679,invest
2164,916,invest
1360,1071,invest
2803,2890,invest
1063,957,invest
1732,2686,invest
1732,3842,invest
1711,337,invest
1210,2791,invest
2080,1945,invest
2418,3626,invest
753,566,invest
2994,3219,invest
2994,704,invest
3541,3179,invest
2204,2612,invest
2634,2257,invest
754,3666,invest
809,1270,invest
2260,1406,invest
2467,2171,invest
916,1388,invest
3383,2177,invest
2564,3835,invest
967,2995,invest
1925,3747,invest
1815,3172,invest
3933,1031,invest
3599,2840,invest
3362,3253,invest
3362,3941,invest
1001,724,invest
111,11,invest
1071,3716,invest
3953,298,invest
2983,1726,invest
2147,575,invest
1739,756,invest
2966,530,invest
221,3941,invest
2246,3657,invest
170,3230,invest
1832,589,invest
1330,1600,invest
1942,3807,invest
1916,3687,invest
3450,1098,invest
1974,1897,invest
1816,168,invest
3151,869,invest
766,331,invest
3693,3417,invest
2611,3305,invest
1440,1608,invest
3941,3416,invest
3941,3362,invest
378,3941,invest
187,3311,invest
1354,3351,invest
2026,940,invest
2092,280,invest
1372,1551,invest
3695,3737,invest
3899,870,invest
1203,262,invest
923,530,invest
3309,2185,invest
1293,2306,invest
17,3687,invest
2852,2259,invest
3470,125,invest
3470,2672,invest
3074,1703,invest
252,2682,invest
787,2194,invest
2393,2259,invest
3726,3163,invest
2400,2008,invest
2030,1351,invest
1247,3605,invest
2441,3082,invest
785,3543,invest
2493,535,invest
366,3704,invest
302,759,invest
302,252,invest
2259,828,invest
2259,3730,invest
2259,1004,invest
788,3618,invest
977,3626,invest
1528,2911,invest
1891,399,invest
2871,1548,invest
340,200,invest
3264,1784,invest
536,1236,invest
2958,496,invest
868,3725,invest
1522,3797,invest
3035,3510,invest
2488,2734,invest
3719,1321,invest
2583,3262,invest
2098,707,invest
1248,2051,invest
2333,1732,invest
3057,1267,invest
3223,2559,invest
2588,3725,invest
1959,290,invest
2717,2133,invest
2717,2644,invest
2769,2177,invest
185,3155,invest
2964,2826,invest
1798,1190,invest
2862,2246,invest
1694,2687,invest
3553,3175,invest
546,1726,invest
3830,3348,invest
404,3339,invest
291,2199,invest
1746,2687,invest
2867,316,invest
3707,3755,invest
3066,3506,invest
294,3868,invest
2992,1125,invest
2355,1599,invest
105,2090,invest
3267,1954,invest
904,657,invest
290,3531,invest
3096,1345,invest
1725,2121,invest
1415,2789,invest
2547,665,invest
1575,2412,invest
2103,1167,invest
1305,868,invest
2741,2402,invest
792,2911,invest
1295,2557,invest
2959,2911,invest
3575,2756,invest
2738,3531,invest
1404,466,invest
3692,450,invest
1383,3250,invest
2737,2917,invest
1333,1955,invest
680,3725,invest
2089,1480,invest
2762,727,invest
84,2335,invest
3481,621,invest
1051,940,invest
161,2697,invest
1456,677,invest
2801,1589,invest
2246,3657,invest
2634,2257,invest
898,3626,invest
3564,969,invest
20,252,invest
3382,2781,invest
3693,3417,invest
3580,3658,invest
1268,2851,invest
1378,3626,invest
2604,853,invest
331,3259,invest
2678,930,invest
178,454,invest
2450,3116,invest
1147,1910,invest
743,1600,invest
743,2613,invest
2291,1600,invest
2400,718,invest
906,3886,invest
906,2808,invest
906,3791,invest
2300,3678,invest
3678,2300,invest
2731,2300,invest
624,1955,invest
2502,844,invest
308,262,invest
2341,2450,invest
2137,1784,invest
763,2142,invest
3366,3136,invest
3886,906,invest
3886,3528,invest
2810,2139,invest
2444,1582,invest
1009,906,invest
3564,3645,invest
58,3311,invest
1845,0,invest
949,3396,invest
2525,2644,invest
913,1449,invest
2014,2032,invest
3614,3912,invest
2822,2561,invest
2979,230,invest
3769,2502,invest
2494,296,invest
3396,949,invest
1217,2435,invest
1217,2734,invest
1217,743,invest
2308,746,invest
2308,481,invest
2804,1122,invest
3035,2168,invest
2642,1009,invest
3151,869,invest
869,3151,invest
3503,1784,invest
1842,2486,invest
546,2061,invest
3193,469,invest
230,2979,invest
3367,742,invest
2032,1262,invest
467,2734,invest
111,11,invest
1286,560,invest
2055,1955,invest
606,2794,invest
2448,743,invest
2254,743,invest
52,743,invest
2103,743,invest
3725,743,invest
798,620,invest
798,2450,invest
339,2168,invest
2155,179,invest
930,3219,invest
3570,1765,invest
3932,709,invest
1177,2291,invest
2802,3886,invest
2402,642,invest
2402,3118,invest
642,2402,invest
3118,2402,invest
1348,2450,invest
2547,2760,invest
3261,2163,invest
3091,2853,invest
3179,3136,invest
1685,2074,invest
20,252,invest
1416,720,invest
1482,3031,invest
3216,1743,invest
3863,2185,invest
1942,3807,invest
3259,331,invest
1485,1480,invest
21,1326,invest
2361,1090,invest
2487,880,invest
621,3481,invest
317,2444,invest
1732,1802,invest
1029,3362,invest
2089,1480,invest
2108,756,invest
1143,2283,invest
2634,2257,invest
3436,841,invest
3000,1480,invest
1261,2346,invest
