:START_ID,:END_ID,:TYPE
1165,951,supply
2082,707,supply
2082,561,supply
2082,217,supply
2082,3626,supply
2082,352,supply
2082,2665,supply
2082,530,supply
139,2233,supply
1141,958,supply
3367,249,supply
2508,1445,supply
2508,3014,supply
2508,560,supply
2508,841,supply
2508,1134,supply
2508,2914,supply
1600,743,supply
1600,3564,supply
1600,3854,supply
1600,291,supply
1600,1220,supply
1600,2154,supply
1600,2661,supply
1600,3304,supply
1600,3518,supply
1600,2204,supply
2702,561,supply
568,3498,supply
3666,3889,supply
3666,1853,supply
3666,179,supply
2088,561,supply
514,991,supply
514,3170,supply
707,2082,supply
707,1215,supply
707,910,supply
707,217,supply
707,2991,supply
707,2908,supply
707,2038,supply
217,3680,supply
217,707,supply
217,2927,supply
217,1568,supply
217,2914,supply
217,2066,supply
217,2877,supply
217,2360,supply
217,2082,supply
217,1823,supply
217,631,supply
217,3427,supply
217,2844,supply
217,1468,supply
217,3838,supply
649,561,supply
1178,232,supply
3094,1383,supply
3094,3863,supply
3295,949,supply
3330,3052,supply
251,3348,supply
1220,441,supply
1220,1749,supply
1220,1600,supply
1220,743,supply
1715,3851,supply
448,522,supply
3564,2502,supply
3564,1035,supply
3564,2418,supply
3564,2724,supply
3564,727,supply
3564,3935,supply
3564,1600,supply
630,906,supply
630,743,supply
1923,1866,supply
1923,560,supply
1551,554,supply
1601,3426,supply
1601,649,supply
1601,1400,supply
1601,2665,supply
1601,3014,supply
1601,1134,supply
1601,606,supply
1601,2914,supply
1175,743,supply
1175,1600,supply
3400,519,supply
3400,22,supply
3400,720,supply
3400,3725,supply
3052,951,supply
1312,1315,supply
2840,817,supply
2840,2927,supply
2840,1224,supply
2840,3604,supply
1422,2074,supply
2817,1972,supply
2007,3941,supply
3498,568,supply
3498,2665,supply
1784,1202,supply
1784,296,supply
1784,3014,supply
1784,3543,supply
1784,2231,supply
3348,561,supply
3348,251,supply
3348,2798,supply
3348,616,supply
2002,3787,supply
2341,416,supply
2341,3366,supply
2477,3941,supply
2490,2646,supply
272,2308,supply
272,2724,supply
2073,951,supply
3869,3083,supply
3869,2343,supply
3869,1784,supply
2402,776,supply
867,2840,supply
399,2055,supply
1510,649,supply
1510,1866,supply
1510,561,supply
1510,3014,supply
1510,1134,supply
1510,3568,supply
1510,2525,supply
743,2289,supply
743,2994,supply
743,315,supply
743,3889,supply
743,2011,supply
743,3219,supply
743,3780,supply
743,3609,supply
743,314,supply
743,702,supply
743,883,supply
743,1600,supply
743,783,supply
743,3285,supply
743,2418,supply
743,3654,supply
1685,3456,supply
1685,456,supply
1685,2074,supply
2177,2438,supply
2177,3383,supply
2881,506,supply
2881,3285,supply
224,743,supply
224,1600,supply
2020,1600,supply
2020,2113,supply
2020,3540,supply
2020,743,supply
2346,1036,supply
2346,3173,supply
2346,2842,supply
2346,958,supply
2346,781,supply
2346,694,supply
2346,3889,supply
1866,743,supply
1866,2668,supply
1866,2508,supply
346,346,supply
1336,3014,supply
1336,2914,supply
721,3503,supply
721,2698,supply
2108,756,supply
2914,1222,supply
2914,2346,supply
2914,3772,supply
1219,561,supply
416,1600,supply
2376,766,supply
2838,2838,supply
3568,2026,supply
3568,2798,supply
3568,561,supply
434,3850,supply
3889,2449,supply
3889,3689,supply
1853,743,supply
1853,561,supply
2524,441,supply
2524,743,supply
3622,1134,supply
3622,3014,supply
2226,2073,supply
2226,331,supply
992,2784,supply
992,1134,supply
992,79,supply
3248,456,supply
3248,781,supply
3854,272,supply
3854,743,supply
3854,3594,supply
3854,615,supply
125,2391,supply
3773,506,supply
394,1502,supply
1084,1784,supply
2502,1548,supply
2281,3588,supply
2281,1600,supply
2798,3568,supply
3838,1600,supply
3838,217,supply
3178,1493,supply
3851,1051,supply
3851,594,supply
1134,561,supply
1101,1865,supply
1101,1345,supply
1109,2185,supply
1109,79,supply
1109,2995,supply
2774,540,supply
3579,720,supply
3735,743,supply
2656,3854,supply
2656,561,supply
3670,707,supply
2410,2649,supply
1400,437,supply
1400,561,supply
1400,3426,supply
3809,1955,supply
3775,781,supply
746,2106,supply
3591,781,supply
3014,700,supply
3014,2346,supply
2525,2788,supply
3089,1784,supply
1239,2909,supply
3950,2665,supply
79,2798,supply
906,630,supply
906,2444,supply
906,49,supply
906,668,supply
906,1463,supply
3772,2914,supply
3772,565,supply
3772,217,supply
3772,3295,supply
3772,2659,supply
3772,2840,supply
699,3576,supply
2846,743,supply
631,217,supply
2359,561,supply
406,198,supply
406,399,supply
3285,2561,supply
140,3014,supply
140,3568,supply
140,344,supply
561,1326,supply
561,2927,supply
561,411,supply
314,2840,supply
314,743,supply
314,58,supply
2032,3851,supply
2032,2045,supply
2032,982,supply
1456,506,supply
2792,1604,supply
2822,2561,supply
3113,3330,supply
2019,3534,supply
2019,272,supply
2019,3851,supply
2019,118,supply
2019,3640,supply
2927,707,supply
2927,217,supply
2927,2840,supply
2409,3417,supply
3886,2471,supply
2472,315,supply
278,15,supply
3681,743,supply
3681,2504,supply
3681,1784,supply
412,2416,supply
3657,3664,supply
2449,3889,supply
2449,561,supply
781,363,supply
781,2840,supply
2921,3788,supply
2921,3941,supply
979,1220,supply
3384,1392,supply
1401,3894,supply
1401,1749,supply
1810,1600,supply
1823,707,supply
3354,217,supply
1387,2471,supply
263,1600,supply
1254,2724,supply
3626,3746,supply
1663,2444,supply
354,1784,supply
354,2375,supply
114,1786,supply
114,3048,supply
2991,3083,supply
1143,783,supply
1143,1220,supply
1143,1600,supply
1143,2327,supply
586,1101,supply
2821,1600,supply
2821,1607,supply
3548,3417,supply
3548,561,supply
3548,2283,supply
3219,3941,supply
3219,3968,supply
3219,2400,supply
2695,2444,supply
308,1283,supply
308,1600,supply
308,2205,supply
308,3304,supply
264,1607,supply
2931,2221,supply
2298,707,supply
1608,1541,supply
1608,1710,supply
1788,1866,supply
1742,2247,supply
1749,2307,supply
1749,707,supply
1749,1220,supply
3047,2226,supply
2584,1784,supply
454,178,supply
3965,3238,supply
1289,2772,supply
345,1475,supply
694,530,supply
694,2346,supply
694,149,supply
3163,2402,supply
3163,1574,supply
3163,3014,supply
3163,2525,supply
3163,217,supply
1253,2080,supply
2292,2233,supply
1362,743,supply
1042,3301,supply
2175,3222,supply
467,1248,supply
2444,561,supply
2168,1600,supply
1250,3103,supply
1980,3479,supply
2675,15,supply
2675,2444,supply
1958,735,supply
1958,2311,supply
2152,308,supply
3954,3858,supply
3237,1401,supply
3109,3972,supply
1530,3737,supply
2678,3143,supply
2494,2176,supply
73,1600,supply
1480,2467,supply
1480,2171,supply
3460,1600,supply
3460,1220,supply
3460,2355,supply
738,2103,supply
2665,3568,supply
2665,3941,supply
3820,3194,supply
516,1882,supply
2730,2176,supply
1080,743,supply
1080,1600,supply
1202,1600,supply
1202,3557,supply
3580,3248,supply
2085,1600,supply
390,1600,supply
2313,2979,supply
2979,1600,supply
1350,707,supply
1052,1315,supply
1052,3805,supply
94,1717,supply
896,3737,supply
560,2177,supply
3216,887,supply
1707,3243,supply
3689,280,supply
3274,3381,supply
3078,3409,supply
3078,2259,supply
3737,3207,supply
3737,951,supply
2649,2914,supply
2649,3426,supply
2649,560,supply
2649,2962,supply
2649,561,supply
2649,217,supply
3479,1081,supply
237,2058,supply
1131,2665,supply
1606,3475,supply
184,1443,supply
3764,3626,supply
3456,2231,supply
3456,1784,supply
2471,3886,supply
2471,2979,supply
296,3886,supply
296,2359,supply
2377,2471,supply
2377,738,supply
571,3014,supply
571,517,supply
571,1134,supply
1949,1600,supply
1949,2049,supply
2784,561,supply
2784,3400,supply
2784,1055,supply
3377,1584,supply
547,1600,supply
3964,1600,supply
3964,783,supply
2178,796,supply
2432,1600,supply
60,3889,supply
60,3277,supply
60,2858,supply
2199,781,supply
2360,707,supply
3417,2536,supply
3417,3510,supply
963,707,supply
963,781,supply
963,3414,supply
963,1400,supply
963,2020,supply
583,215,supply
408,3546,supply
2947,743,supply
2947,441,supply
1638,2082,supply
1638,2339,supply
3867,217,supply
3867,781,supply
3337,3082,supply
3337,2781,supply
2960,3666,supply
2960,3857,supply
1378,1134,supply
